name,type,manufacturer,first_flight,status,range_km,cruise_speed_kmh,max_speed_kmh,capacity_passengers,crew,length_m,wingspan_m,era,mission,key_features,design_philosophy,short_description
AEG C.II,aircraft,,,,,,,,,,,Various,aircraft,The AEG C.II was a two-seat biplane reconnaissance aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial,Wikipedia-sourced,The AEG C.II was a two-seat biplane reconnaissance aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luftstreitkräfte). It was ordered in late 1915 as a better-performing version of the C.I resulting from a smaller and lighter structure.
AEG C.IV,aircraft,,,,,,,,,,,Various,aircraft,"The AEG C.IV was a two-seat biplane reconnaissance aircraft designed and produced by the German aircraft manufacturer Allgemeine Elektrizitäts-Gesellschaft.
The C.IV was developed from the earlier AEG",Wikipedia-sourced,"The AEG C.IV was a two-seat biplane reconnaissance aircraft designed and produced by the German aircraft manufacturer Allgemeine Elektrizitäts-Gesellschaft.
The C.IV was developed from the earlier AEG C.II in response to an urgent requirement from the Luftstreitkräfte (Imperial German Army Air Service) for better fixed-wing aerial reconnaissance platforms."
AEG C.V,aircraft,,,,,,,,,,,Various,aircraft,The AEG C.V was a prototype two-seat biplane reconnaissance aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer),Wikipedia-sourced,"The AEG C.V was a prototype two-seat biplane reconnaissance aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luftstreitkräfte). Designed to use a more powerful engine than previous AEG C-class reconnaissance aircraft, the aircraft proved inferior to competing prototypes using th..."
AEG C.VII,aircraft,,,,,,,,,,,Various,aircraft,The AEG C.VII was a prototype two-seat biplane reconnaissance aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Hee,Wikipedia-sourced,The AEG C.VII was a prototype two-seat biplane reconnaissance aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luftstreitkräfte). It was developed from the C.IV but did not enter production.
AEG Dr.I,aircraft,,,,,,,,,,,Various,aircraft,The AEG Dr.I was a prototype triplane fighter built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Se,Wikipedia-sourced,The AEG Dr.I was a prototype triplane fighter built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luftstreitkräfte) in 1917. It was derived from the D.I biplane.
AEG G.I,aircraft,,,,,,,,,,,Various,aircraft,The AEG G.I (factory designation GZ1) was a prototype twin-engined German biplane built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (De,Wikipedia-sourced,"The AEG G.I (factory designation GZ1) was a prototype twin-engined German biplane built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luftstreitkräfte). The first prototype was designated as the K.I. Flight testing showed that it performed well enough to justify a second, more heavily armed..."
AEG G.III,aircraft,,,,,,,,,,,Various,aircraft,The AEG G.III was a biplane bomber built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luft,Wikipedia-sourced,The AEG G.III was a biplane bomber built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luftstreitkräfte). It was an enlarged version of the G.II fitted with more powerful engines for the same battleplane (Kampfflugzeug) or aerial cruiser role escorting bombers or reconnaissance aircraft and...
AEG G.V,aircraft,,,,,,,,,,,Various,aircraft,The AEG G.V was a biplane bomber aircraft of World War I built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial Ge,Wikipedia-sourced,"The AEG G.V was a biplane bomber aircraft of World War I built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luftstreitkräfte). It made its first flight in 1918 and was an enlarged and improved version of the G.IV. The type saw limited production before the Armistice in November, and never ..."
AEG J.I,aircraft,,,,,,,,,,,Various,aircraft,The AEG J.I was a German biplane ground attack aircraft designed and produced by the German aircraft manufacturer Allgemeine Elektricitäts-Gesellschaft. It was a mission-specific derivative of the AEG,Wikipedia-sourced,The AEG J.I was a German biplane ground attack aircraft designed and produced by the German aircraft manufacturer Allgemeine Elektricitäts-Gesellschaft. It was a mission-specific derivative of the AEG C.IV reconnaissance aircraft.
AEG R.I,aircraft,,,,,,,,,,,Various,aircraft,The AEG R.I was a prototype biplane heavy bomber (Riesenflugzeug) aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches,Wikipedia-sourced,The AEG R.I was a prototype biplane heavy bomber (Riesenflugzeug) aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luftstreitkräfte). It made its first flight in mid-1918 and only one of the eight aircraft ordered was completed.
AGO C.II,aircraft,,,,,,,,,,,Various,aircraft,"The AGO C.II was a German reconnaissance biplane of World War I. It was essentially a slightly redesigned version of the manufacturer's C.I design with a more powerful engine and 3-bay wings.
Two exam",Wikipedia-sourced,"The AGO C.II was a German reconnaissance biplane of World War I. It was essentially a slightly redesigned version of the manufacturer's C.I design with a more powerful engine and 3-bay wings.
Two examples were equipped with floats (designation C.II-W) and operated by the Imperial German Navy for coastal patrol."
AGO C.III,aircraft,,,,,,,,,,,Various,aircraft,The AGO C.III was a German reconnaissance biplane of World War I. It was a single experimental prototype derived from the manufacturer's C.I design.,Wikipedia-sourced,The AGO C.III was a German reconnaissance biplane of World War I. It was a single experimental prototype derived from the manufacturer's C.I design.
AGO C.VII,aircraft,,,,,,,,,,,Various,aircraft,The AGO C.VII was a prototype German reconnaissance aircraft of World War I.,Wikipedia-sourced,The AGO C.VII was a prototype German reconnaissance aircraft of World War I.
AGO DV.3,aircraft,,,,,,,,,,,Various,aircraft,The DV.3 was a prototype fighter aircraft built and tested by AGO in 1915. It was a two-bay biplane of conventional configuration with a neatly cowled engine.,Wikipedia-sourced,The DV.3 was a prototype fighter aircraft built and tested by AGO in 1915. It was a two-bay biplane of conventional configuration with a neatly cowled engine.
AISA GN,aircraft,,,,,,,,,,,Various,aircraft,The AISA GN was a prototype four-seat autogyro developed in Spain between 1971 and 1982. it featured an extensively-glazed cabin fitted with a pusher engine and tricycle undercarriage.,Wikipedia-sourced,The AISA GN was a prototype four-seat autogyro developed in Spain between 1971 and 1982. it featured an extensively-glazed cabin fitted with a pusher engine and tricycle undercarriage.
AISA I-115,aircraft,,,,,,,,,,,Various,aircraft,"The AISA I-115 is a low-wing single-engined military primary trainer with tandem seating, which went into service with the Spanish Air Force in 1956.  After retirement in 1976 many were sold to civil ",Wikipedia-sourced,"The AISA I-115 is a low-wing single-engined military primary trainer with tandem seating, which went into service with the Spanish Air Force in 1956.  After retirement in 1976 many were sold to civil operators."
AM-69 Georges Payre,aircraft,,,,,,,,,,,Various,aircraft,"The AM-69 Georges Payre, also known as the Arts & Métiers AM-69 and the ENAM-69/70, was a conventionally laid out low wing monoplane designed and built by French students in the early 1970s.  It was i",Wikipedia-sourced,"The AM-69 Georges Payre, also known as the Arts & Métiers AM-69 and the ENAM-69/70, was a conventionally laid out low wing monoplane designed and built by French students in the early 1970s.  It was intended as a trainer, seating two in tandem."
AMF Chevvron 2-32,aircraft,,,,,,,,,,,Various,aircraft,The AMF Chevvron is a British two-seat microlight aircraft of the 1980s and 90s. It is a single engined mid-winged monoplane with side-by-side seating.,Wikipedia-sourced,The AMF Chevvron is a British two-seat microlight aircraft of the 1980s and 90s. It is a single engined mid-winged monoplane with side-by-side seating.
ANBO II,aircraft,,,,,,,,,,,Various,aircraft,The ANBO II was a parasol-wing monoplane aircraft built in Lithuania in 1927 as a pilot trainer for the Army. It was the first Lithuanian trainer aircraft of own design.,Wikipedia-sourced,The ANBO II was a parasol-wing monoplane aircraft built in Lithuania in 1927 as a pilot trainer for the Army. It was the first Lithuanian trainer aircraft of own design.
ANBO IV,aircraft,,,,,,,,,,,Various,aircraft,"The ANBO IV was a reconnaissance aircraft used by the Lithuanian Air Force in World War II, designed by Lithuanian aircraft designer Antanas Gustaitis. The Lithuanian ANBO 41 was far ahead of the most",Wikipedia-sourced,"The ANBO IV was a reconnaissance aircraft used by the Lithuanian Air Force in World War II, designed by Lithuanian aircraft designer Antanas Gustaitis. The Lithuanian ANBO 41 was far ahead of the most modern foreign reconnaissance aircraft of that time in structural features, and most importantly in speed and in climb rate."
ANBO V,aircraft,,,,,,,,,,,Various,aircraft,"The ANBO V was a parasol wing monoplane training aircraft designed for the Lithuanian Army in 1931.  A developed version, the ANBO 51 followed in 1936 and 1938.",Wikipedia-sourced,"The ANBO V was a parasol wing monoplane training aircraft designed for the Lithuanian Army in 1931.  A developed version, the ANBO 51 followed in 1936 and 1938."
ANBO VI,aircraft,,,,,,,,,,,Various,aircraft,"The ANBO VI was a parasol-wing monoplane designed for the Lithuanian Army as a trainer in 1933, based on the ANBO III. It featured revised landing gear and a more powerful engine.",Wikipedia-sourced,"The ANBO VI was a parasol-wing monoplane designed for the Lithuanian Army as a trainer in 1933, based on the ANBO III. It featured revised landing gear and a more powerful engine."
ANBO VIII,aircraft,Karo Aviacijos Tiekimo Skyrius,1939,Active,,,,,,,,Various,aircraft,The ANBO VIII was a Lithuanian bomber-reconnaissance monoplane designed by Antanas Gustaitis and built by Karo Aviacijos Tiekimo Skyrius.,Wikipedia-sourced,The ANBO VIII was a Lithuanian bomber-reconnaissance monoplane designed by Antanas Gustaitis and built by Karo Aviacijos Tiekimo Skyrius.
ANF Les Mureaux,aircraft,,,,,,,,,,,Various,aircraft,ANF Les Mureaux (full name: Les Ateliers de Construction du Nord de la France et des Mureaux) was a French aircraft manufacturer founded in Les Mureaux in 1918 as Les Ateliers des Mureaux building air,Wikipedia-sourced,ANF Les Mureaux (full name: Les Ateliers de Construction du Nord de la France et des Mureaux) was a French aircraft manufacturer founded in Les Mureaux in 1918 as Les Ateliers des Mureaux building aircraft under license. Significant products included Vickers Vimys and Breguet 14s during the 1920s.
ANF Les Mureaux 113,aircraft,,,,,,,,,,,Various,aircraft,"The ANF Les Mureaux 110 and its derivatives were a family of all-metal military reconnaissance aircraft developed and produced by the French aircraft manufacturer ANF Les Mureaux.
It was designed in r",Wikipedia-sourced,"The ANF Les Mureaux 110 and its derivatives were a family of all-metal military reconnaissance aircraft developed and produced by the French aircraft manufacturer ANF Les Mureaux.
It was designed in response to a requirement issued by the French air ministry."
